id,date,time,description,user,amount,fee,net
1,Jun 05 2025,12:18 am,Payment for message from,Adam,$3.00,$0.60,$2.40
2,Jun 05 2025,12:15 am,Subscription from,Adam,$3.00,$0.60,$2.40
